Principal Component	Explained Variance Ratio
1	0.7265805344915928
2	0.09203590606653814
3	0.05971994688039328
4	0.03960751511916591
5	0.027297418250854487
6	0.01897929736868617
7	0.011970195909422025
8	0.010995410117655001
9	0.007584888636769546
10	0.005228887158922673
